"nombre","capacidad","CUSEC","long","lat","muni_code"
"carmen",323,"0811301002",1.82657858832652,41.7245982846547,"08113"
"rambla",420,"0829803003",2.25322850136756,41.9272404882219,"08298"
"cuartel",302,"0830703003",1.72615467008537,41.2287456419422,"08307"
"cuartel de caballeria",182,"0830504002",1.69919492602799,41.3443045741631,"08305"
"cuartel de santo domingo",558,"1707904002",2.82749554416414,41.9859945610433,"17079"
"cuartel de san martin",469,"1707904002",2.82717009525151,41.9851072818061,"17079"
"cuartel de san francisco",100,"1707902001",2.82257854093776,41.9815187723709,"17079"
"antiguo mercado de ganado",500,"1707902001",2.82287882477662,41.9797112870319,"17079"
"castillo de san fernando (varios cuarteles)",2220,"1706601002",2.94691110829543,42.2737008253771,"17066"
"cuartel del carmen",430,"1711401001",2.49225699690373,42.1833865543604,"17114"
"cuartel de infanteria",304,"1714101004",1.92926607613616,42.4326128706661,"17141"
"cuartel de la panera",240,"2512004001",0.624113229357505,41.6177226899855,"25120"
"cuartel del castillo principal",780,"2512004001",0.626626924891771,41.6187448162733,"25120"
"cuartel castillo de gardeny",205,"2512003008",0.617198385747603,41.6089647732223,"25120"
"cuartel de jesuitas",250,"2520301001",1.46129711181932,42.3560515009065,"25203"
"cuartel del castillo principal",140,"2520301006",1.44658842883892,42.35838412233,"25203"
"cuartel de san agustin",755,"4314804001",1.25533472494993,41.1153169137207,"43148"
"cuartel del carro",300,"4314803001",1.26012084958217,41.1192899684733,"43148"
"cuartel de caballeria",392,"4312306003",1.10631757682016,41.1586250646787,"43123"
"cuartel para caballeria",200,"4316106004",1.25218768224965,41.2866945449095,"43161"
"santo domingo",314,"4315501005",0.525048906517716,40.8146483418918,"43155"
"fuerte bonete",140,"4315503001",0.524469430691588,40.8160335594471,"43155"
"castillo de san juan",147,"4315503001",0.524469430691588,40.8160335594471,"43155"
"cuartel del principe (castillo de la aljaferia)",1140,"5029707001",-0.896771401083149,41.6565990520685,"50297"
"cuartel de santa isabel (castillo de la aljaferia)",1140,"5029707001",-0.896771401083149,41.6565990520685,"50297"
"cuartel del cid",400,"5029701031",-0.892477897228086,41.6544989212691,"50297"
"cuartel de trinitarios",160,"5029701031",-0.890280149547355,41.6511215334219,"50297"
"cuartel de torrero",440,"5029705034",-0.881616735910904,41.6335385348132,"50297"
"cuartel de san lazaro",120,"5029710019",-0.869326684914211,41.6564457045217,"50297"
"cuartel del carmen",400,"5029702006",-0.884920456797695,41.6509075668567,"50297"
"cuartel de hernan cortes",790,"5029702018",-0.890024324043261,41.647704580401,"50297"
"cuartel de san genis",400,"5029701031",-0.887453328542503,41.6527305649392,"50297"
"cuartel general luque",320,"5029711001",-0.876962957228408,41.6941275072312,"50297"
"cuartel de sementales",106,"5029701005",-0.869597951580333,41.6513408780687,"50297"
"cuartel santa clara",300,"4217301002",-2.46626394890189,41.7618691825677,"42173"
"cuartel de san francisco",310,"1204004005",-0.0412505934002629,39.9801626918008,"12040"
"instituto viejo",100,"1204001001",-0.0372986579617466,39.9851830115905,"12040"
"cuartel de san francisco y agustines",400,"1208003001",-0.101486050077452,40.6189823628802,"12080"
"cuartel alcañiz",120,"4401301001",-0.13319599537042,41.0499340839565,"44013"
"cuartel de carmelitas",400,"4421602001",-1.10907953737736,40.3417880912856,"44216"
"ciudadela",295,"2213001006",-0.551171483719052,42.5719751704076,"22130"
"cuartel de la puerta de estudio",471,"2213001001",-0.550166448905699,42.5669111078285,"22130"
"fuerte rapitan",150,"2213001008",-0.533761640026513,42.5896344150922,"22130"
"fuerte de coll de ladrones",200,"2207801001",-0.509210352917379,42.764447505749,"22078"
"cuartel de la merced",380,"2212503002",-0.40542206370772,42.135058903438,"22125"
"cuartel san juan",380,"2212501001",-0.408715624322302,42.1421787999993,"22125"
"cuartel de san vicente",200,"2212501001",-0.407381477674776,42.1415820133846,"22125"
"cuartel san carlos - colegio huerfanos",740,"1913002002",-3.16933516602182,40.6381882787531,"19130"
"cuartel san carlos - cuartel de aeroestacion",100,"1913002002",-3.16933516602182,40.6381882787531,"19130"
"fuerte de las torres",100,"1919001001",-1.88717263407986,40.8454192237572,"19190"
