"CUSEC","army","army_noHQ","army_nb","army_nb10","army_nb5","army_nb2","army_noHQ_nb","army_noHQ_nb10","army_noHQ_nb5","army_noHQ_nb2"
"0105902024",0,0,0,0,0,0,0,0,0,0
"0105902039",0,0,0,0,0,0,0,0,0,0
"0105903011",0,0,0,0,0,0,0,0,0,0
"0105904004",0,0,0,0,0,0,0,0,0,0
"0105904005",0,0,0,0,0,0,0,0,0,0
"0105904025",0,0,0,0,0,0,0,0,0,0
"0105902001",0,0,0,0,0,0,0,0,0,0
"0105902009",0,0,0,0,0,0,0,0,0,0
"0105902011",0,0,0,0,0,0,0,0,0,0
"0105902034",0,0,0,0,0,0,0,0,0,0
"0105902036",0,0,0,0,0,0,0,0,0,0
"0105902045",0,0,0,0,0,0,0,0,0,0
"0105903023",0,0,0,0,0,0,0,0,0,0
"0105903026",0,0,0,0,0,0,0,0,0,0
"0105903034",0,0,0,0,0,0,0,0,0,0
"0105904018",0,0,0,0,0,0,0,0,0,0
"0105904020",0,0,0,0,0,0,0,0,0,0
"0105903004",0,0,0,0,0,0,0,0,0,0
"0105903014",0,0,0,0,0,0,0,0,0,0
"0105903041",0,0,0,0,0,0,0,0,0,0
"0105904001",0,0,0,0,0,0,0,0,0,0
"0105904012",0,0,0,0,0,0,0,0,0,0
"0105905012",0,0,0,0,0,0,0,0,0,0
"0105905014",0,0,0,0,0,0,0,0,0,0
"0105905038",0,0,0,0,0,0,0,0,0,0
"0105906002",0,0,0,0,0,0,0,0,0,0
"0190101002",0,0,0,0,0,0,0,0,0,0
"0105904019",0,0,0,0,0,0,0,0,0,0
"0105904026",0,0,0,0,0,0,0,0,0,0
"0105904031",0,0,0,0,0,0,0,0,0,0
"0105905025",0,0,0,0,0,0,0,0,0,0
"0105905032",0,0,0,0,0,0,0,0,0,0
"0105906001",0,0,0,0,0,0,0,0,0,0
"0200201001",0,0,0,0,0,0,0,0,0,0
"0105904008",0,0,0,0,0,0,0,0,0,0
"0105904021",0,0,0,0,0,0,0,0,0,0
"0105905015",0,0,0,0,0,0,0,0,0,0
"0105905022",0,0,0,0,0,0,0,0,0,0
"0105905030",0,0,0,0,0,0,0,0,0,0
"0105906003",0,0,0,0,0,0,0,0,0,0
"0190201001",0,0,0,0,0,0,0,0,0,0
"0200301005",0,0,0,1,0,0,0,1,0,0
"0105904006",0,0,0,0,0,0,0,0,0,0
"0105904007",0,0,0,0,0,0,0,0,0,0
"0105904022",0,0,0,0,0,0,0,0,0,0
"0105905010",0,0,0,0,0,0,0,0,0,0
"0105905028",0,0,0,0,0,0,0,0,0,0
"0105905029",0,0,0,0,0,0,0,0,0,0
"0106001001",0,0,0,0,0,0,0,0,0,0
"0106101001",0,0,0,0,0,0,0,0,0,0
"0190101001",0,0,0,0,0,0,0,0,0,0
"0105903038",0,0,0,0,0,0,0,0,0,0
"0105904016",0,0,0,0,0,0,0,0,0,0
"0105904032",0,0,0,0,0,0,0,0,0,0
"0105905017",0,0,0,0,0,0,0,0,0,0
"0105905019",0,0,0,0,0,0,0,0,0,0
"0105905035",0,0,0,0,0,0,0,0,0,0
"0105905037",0,0,0,0,0,0,0,0,0,0
"0200301002",0,0,0,1,0,0,0,1,0,0
"0200301004",0,0,0,1,0,0,0,1,0,0
"0200301017",0,0,0,1,0,0,0,1,0,0
"0200302002",0,0,0,1,0,0,0,1,0,0
"0200302004",0,0,0,1,1,0,0,1,1,0
"0105904029",0,0,0,0,0,0,0,0,0,0
"0105905021",0,0,0,0,0,0,0,0,0,0
"0105905023",0,0,0,0,0,0,0,0,0,0
"0105905031",0,0,0,0,0,0,0,0,0,0
"0105905033",0,0,0,0,0,0,0,0,0,0
"0200301006",0,0,0,1,0,0,0,1,0,0
"0200301008",0,0,0,1,0,0,0,1,0,0
"0200301015",0,0,0,1,0,0,0,1,0,0
"0200302021",0,0,0,1,1,0,0,1,1,0
"0200302023",0,0,0,1,1,0,0,1,1,0
"0200303001",0,0,0,1,0,0,0,1,0,0
"0200303006",0,0,0,1,1,0,0,1,1,0
"0105905016",0,0,0,0,0,0,0,0,0,0
