"muni_code","izq1936","dcha1936"
"2001",0.177927927927928,0.82027027027027
"2002",0.414191419141914,0.471947194719472
"2003",0.581017518878605,0.370230744990021
"2004",0.580152671755725,0.419847328244275
"2005",0.586972612879349,0.405132000986923
"2006",0.11305334846765,0.866515323496027
"2007",0.370588235294118,0.504072398190045
"2008",0.334765552026901,0.535867737717168
"2009",0.741730072167978,0.177480978349606
"2010",0.428706199460916,0.508086253369272
"2011",0.4077817079333,0.552130705743642
"2012",0.319979586629242,0.546057667772391
"2013",0.604358188627852,0.354102826012938
"2014",0.24629840546697,0.637243735763098
"2015",0.403842459173871,0.474351585014409
"2016",0.374175306314797,0.611844172164625
"2017",0.21216429699842,0.632069510268562
"2018",0.676153091265947,0.259568204121688
"2019",0.111305798915311,0.684355444305382
"2020",NA,NA
"2021",0.416087962962963,0.492476851851852
"2022",0.222222222222222,0.628726287262873
"2023",0.347194837784549,0.438071338949633
"2024",0.408065532451166,0.58122243226213
"2025",0.374764917079843,0.500085484698239
"2026",0.274633123689727,0.573584905660377
"2027",0.343463780183181,0.627393838467943
"2028",0.0563934426229508,0.841967213114754
"2029",0.449404976559683,0.443058059862964
"2030",0.343726171312378,0.0549012962806066
"2031",0.167418094379321,0.705740907724677
"2032",0.391821041593848,0.514854945823139
"2033",0.358839050131926,0.516446789797713
"2034",0.579009039169736,0.395882156009374
"2035",0.281503829194709,0.659085634718032
"2036",0.554803788903924,0.435723951285521
"2037",0.473868945868946,0.499282051282051
"2038",0.0679851668726823,0.901730531520396
"2039",0.625,0.299735249621785
"2040",0.450619148293567,0.440048323769254
"2041",0.352770384708444,0.619646745705299
"2042",0.0750853242320819,0.8806598407281
"2043",0.453005927180356,0.444644369178662
"2044",0.35634303780793,0.524700302990383
"2045",0.513680112468909,0.483940737536498
"2046",0.475453575240128,0.431341159729634
"2047",0.249049429657795,0.600760456273764
"2048",0.375157013258897,0.496859734822052
"2049",0.353608655495448,0.521968597440296
"2050",0.425301204819277,0.489156626506024
"2051",0.417711389703921,0.412643371565751
"2052",0.354437535330695,0.52176370830978
"2053",0.276860587002096,0.704271488469602
"2054",0.337928153717627,0.622389306599833
"2055",0.157069376489775,0.699912181658512
"2056",0.54256395432866,0.325046972105796
"2057",0.426760818395799,0.458808618504436
"2058",0.220570749108205,0.637633769322235
"2059",0.0635008282716731,0.748757592490337
"2060",0.397794741306192,0.49236641221374
"2061",0.423332661696554,0.574450936933307
"2062",0.392604902368093,0.483174075612796
"2063",0.118325394835798,0.780897468037102
"2064",0.379041248606466,0.497212931995541
"2065",0.0574682203389831,0.754766949152542
"2066",0.281395348837209,0.708372093023256
"2067",0.127888446215139,0.784262948207171
"2068",0.530896850204376,0.374849723491224
