reg_militar;lugar;nombre;capacidad;coords;
2;la linea de la concepcion;cuartel de ballesteros;152;36.16021651173436, -5.350106452136881;
2;san roque;cuartel diego salinas;400;36.21204184498589, -5.3914269571751054;
2;san roque;cuartel abarracado de lusarte (?);140;36.211339117706395, -5.392540855592517;
2;ronda;cuartel de la concepcion;700;36.74567168025264, -5.165478042566821;
2;tarifa (isla palomas);cuartel de casamatas - penitenciaria;40;36.00371756642507, -5.609736621598229;
2;tarifa (isla palomas);cuartel central;200;36.00371756642507, -5.609736621598229;
2;tarifa (isla palomas);cuartel de artilleria;44;36.00371756642507, -5.609736621598229;
2;tarifa;castillo de los guzmanes;168;36.01258232318665, -5.60327440000147;
3;valencia;cuartel de infanteria de santo domingo;550;39.47391911470304, -0.3694559278520238;
3;valencia;cuartel de artilleria;600;39.45024285134644, -0.38718753113542864;
3;valencia;cuartel de infanteria de san juan de la ribera;900;39.4718641326628, -0.3623249198619371;
3;valencia;cuartel de caballeria de san juan de la ribera;800;39.4718641326628, -0.3623249198619371;
3;valencia;cuartel de monteolivete;550;39.45907795849967, -0.3590722676770773;
3;valencia;cuartel del pilar;150;39.47144128608495, -0.3829229206974095;
3;valencia;cuartel del refugio;364;39.47072727356807, -0.38136903436471437;
3;valencia;cuartel del picadero;60;;
3;paterna;cuartel de infanteria;320;39.499385845817834, -0.43427733918000627;
3;paterna;cuartel de artilleria;240;39.499385845817834, -0.43427733918000627;
3;paterna;cuadras provisionales para dos cuadras de ametralladoras;240;39.499385845817834, -0.43427733918000627;
3;jativa;cuartel de san francisco;200;38.98964101480492, -0.5207151072181044;
3;alicante;cuartel princesa mercedes;800;38.34433169883726, -0.5024227840775829;
3;alicante;cuartel de san francisco;457;38.34474643293884, -0.4877395119994769;
3;alicante;cuartel del rey;457;38.34666960097922, -0.48540910319624425;
3;alcoy;cuartel de infanteria;580;38.69758488120653, -0.48041445077469386;
3;cartagena;cuartel de antigones;1100;37.60142048351556, -0.978819560522643;
3;cartagena;cuartel del hospital;1200;37.59993392828931, -0.9790928210693576;
3;cartagena;cuartel del rey;30;;
3;murcia;cuartel de garay;393;37.97847419435246, -1.1344724879076231;
3;lorca;cuartel de la alameda;350;37.683728820087126, -1.6854791260432007;
3;albacete;cuartel de san francisco;443;38.99015084798599, -1.8503616052386846;
3;almeria;cuartel de la misericordia;484;36.838557152319105, -2.4722280315044824;
4;barcelona;atarazanas;1031;41.37530673130248, 2.1762895780596065;
4;barcelona;santa madrona (?);262;41.37406847642933, 2.172171781359653;
4;barcelona;san pablo;280;41.376106372130906, 2.1691284887496085;
4;barcelona;san agustin;450;41.38769782513871, 2.1815689575207085;
4;barcelona;buensuceso;350;41.384359955399624, 2.1692770609352765;
4;barcelona;san fernando;956;41.381388285830596, 2.1895124733285303;
4;barcelona;caballeria (barceloneta);579;41.3798807935778, 2.1884747678655434;
4;barcelona;jaime i;1486;41.38968045783256, 2.190692591297023;
4;barcelona;docks;603;41.39056451742551, 2.1980247026713764;
4;barcelona;alfonso xiii;466;41.380057945072366, 2.1445168756061985;
4;barcelona;gerona;466;41.40967294483234, 2.168711341125827;
4;berga;san francisco;466;42.10376460696365, 1.8446597253478316;
4;granollers;cuartel;300;41.60898997784827, 2.285970692235281;
4;manresa;carmen;323;41.72459828465474, 1.8265785883265155;
4;vich;rambla;420;41.9272404882219, 2.2532285013675626;
4;villanueva;cuartel;302;41.22874564194225, 1.7261546700853658;
4;villafranca;cuartel de caballeria;182;41.34430457416314, 1.6991949260279866;
4;gerona;cuartel de santo domingo;558;41.98599456104328, 2.8274955441641394;
4;gerona;edificio de las aguilas;28;;
4;gerona;cuartel de san martin;469;41.9851072818061, 2.827170095251511;
4;gerona;cuartel de san francisco;100;41.981518772370926, 2.8225785409377604;not sure
4;gerona;antiguo mercado de ganado;500;41.97971128703189, 2.8228788247766214;not sure
4;figueras;castillo de san fernando (varios cuarteles);2220;42.27370082537709, 2.946911108295431;
4;olot;cuartel del carmen;430;42.18338655436043, 2.4922569969037287;
4;puigcerda;cuartel de infanteria;304;42.43261287066607, 1.9292660761361595;
4;lerida;cuartel de caballeria;90;;
4;lerida;cuartel de la panera;240;41.617722689985484, 0.6241132293575049;
4;lerida;cuartel del castillo principal;780;41.61874481627329, 0.6266269248917714;
4;lerida;cuartel castillo de gardeny;205;41.608964773222304, 0.6171983857476026;
4;seo de urgel;cuartel de jesuitas;250;42.35605150090647, 1.4612971118193219;
4;seo de urgel;edificios de ciudadela;90;42.35307183813691, 1.4421953227305233;
4;seo de urgel;cuartel del castillo principal;140;42.358384122330015, 1.446588428838922;
4;tarragona;cuartel de san agustin;755;41.11531691372066, 1.2553347249499267;
4;tarragona;cuartel del carro;300;41.11928996847333, 1.2601208495821707;
4;tarragona;cuartelillo san antonio;20;;
4;reus;cuartel de caballeria;392;41.15862506467866, 1.1063175768201554;
4;valls;cuartel para caballeria;200;41.28669454490946, 1.2521876822496545;
4;tortosa;cuartel principal;576;NA;
4;tortosa;santo domingo;314;40.814648341891754, 0.5250489065177159;
