"CUSEC","min_dist_army"
"0200303011",4507.98527028607
"0105905026",53575.2272832345
"0105905027",53470.7085513103
"0106201001",46381.8104955616
"0106301001",39424.1631210766
"0200301009",4800.63593236107
"0200301012",4929.84216264707
"0200302009",5848.14297878403
"0200302010",4916.24355651361
"0200303003",4617.54838151154
"0200303004",4429.09392492867
"0200304004",3986.64785970533
"0200304007",3581.81338465179
"0200101001",40476.9288044916
"0200302005",4881.45109843796
"0200302007",4962.32544063031
"0200302014",5405.61472805949
"0200302016",5215.54157138037
"0200304001",4262.48655731175
"0200304003",4152.65268587371
"0200304008",3806.47489614095
"0200304010",4342.95841083691
"0200304012",3190.21608120035
"0200306006",3484.37279176326
"0200301016",5208.13575450584
"0200302006",5255.29062315385
"0200302013",4990.31635783274
"0200302024",5460.36295689454
"0200303007",4451.4850662242
"0200303014",4418.96552513827
"0200304011",3129.15557394236
"0200305004",3922.42893559841
"0200305011",4136.89443859367
"0200306009",4226.13148996766
"0200307002",4203.70590955488
"0200301007",5132.99638720522
"0200301014",5254.53753885492
"0200302008",5271.640243195
"0200302015",5057.01531307662
"0200302022",5959.43142034742
"0200303009",4342.38962873221
"0200304002",4187.82639162525
"0200304009",3948.75427281612
"0200305006",3728.49473671521
"0200305013",2845.26679648988
"0200306007",3695.36467449221
"0200307004",4057.97261167226
"0200302011",5003.43220051748
"0200302012",5499.20593294165
"0200303002",4535.17142667009
"0200303005",4491.16793101773
"0200304005",4218.15379706929
"0200304006",3990.48620674885
"0200305009",3437.87584627683
"0200305010",4280.70026546065
"0200306011",3577.68612231653
"0200306014",3282.54734157849
"0200307014",2589.31947878817
"0200307015",4354.16303503223
"0200303008",4488.09246638195
"0200305003",3962.32446195166
"0200306001",4399.23270652577
"0200308002",12926.2426466354
"0200902003",67156.7931121179
"0201002001",50177.1737823505
"0201201002",24372.0259297282
"0202401001",51167.2139147721
"0200307009",3540.30993196845
"0200308003",13286.2140822677
"0200904004",68351.4944109015
"0200308006",7087.62138260059
"0200904003",67616.5208361279
"0201001001",56884.5289982668
"0201301001",66213.7447505963
"0201501001",30125.2522032846
"0202801001",80510.5144146215
"0202902001",22715.3218469109
"0200308001",3081.29648863724
"0200901002",67049.417729475
"0200903004",67765.1910095567
"0200904002",66209.5714478558
"0201601001",82265.762325328
"0202101001",29795.8458102088
"0200303013",4291.03113872632
"0200304014",3756.66932691373
"0200305002",4089.67868951222
"0200306002",4145.99927250609
"0200306004",3812.55834182583
"0200307005",3793.74688383221
"0200307007",4733.30896659368
"0200401001",51682.3469611227
"0200601001",36202.76560235
"0200903007",67762.1447898174
"0200903009",68161.5839329963
"0201801001",48788.8552459002
"0201901002",54573.8576664467
"0201401001",53795.8692084834
"0201901003",59604.5007069615
"0202501004",56589.7657538965
"0202901001",17700.4559084627
"0203301002",44661.4460599812
"0200302017",5205.66258309953
"0200302019",5068.89571588015
"0200303010",4584.74230937968
"0200303012",4694.14981212235
"0200304013",4033.7475576533
"0200305001",4391.47146129823
"0200306003",4043.29593273938
"0200306005",3790.85206808517
"0200307006",4383.65727610994
"0200307008",4254.24754101226
"0200501001",55957.0970190192
"0200701001",47616.4700479047
"0200903006",67519.0608946859
"0200903008",68085.7132456655
"0200904001",66808.2222288852
"0201701001",51879.8701068989
"0201901001",68504.4970748859
"0202501006",55997.8992668577
"0202601001",42194.3548267288
"0203701001",50768.3877830981
"0200306008",2784.77457200251
"0200306010",3624.93335545463
"0200307001",4473.07909578478
"0200307003",4232.4409413984
"0200901001",66916.4979485239
"0200903003",67248.0423998251
"0200903005",67693.2683155428
"0202001001",52763.3802289064
"0202201001",38066.1875653027
"0200305007",3592.7514213407
"0200305008",3586.17628472515
"0200306012",3471.24229601361
"0200306013",3442.11322119492
"0200307013",3886.35921298629
"0200307016",4436.40537644701
"0200307017",3544.5229945558
"0200902001",67291.0313849352
"0200902002",67667.8680756704
"0201101001",47777.3215976688
"0201201001",24213.6448506868
"0202301001",58832.5073243735
"0202402001",56189.082955785
"0202501001",57803.2528676601
"0203002001",58828.9751604362
"0202501002",56252.4509254436
"0203001001",58153.8142871126
"0203501001",21203.5855008124
"0203702001",50918.4898219828
"0202501007",55556.4030495037
"0202701001",40063.0383686057
"0203701002",50081.6915342715
"0203701004",51596.6874288603
"0203701003",50500.3353553938
"0203705001",54768.4406022782
"0203706001",55391.8190313315
"0203401001",41778.5452950474
"0203501002",20231.1759796306
"0203901001",37826.2838746993
"0204101001",35972.4815006809
